trigger_selection,sample_selection,poison_size,watermark_size,iteration,acc_clean,fp,acc_xb
VR,p-value,30,4,3,0.99137,0.00475,0.0001721536420621981
VR,p-value,30,8,3,0.990565,0.00443,0.00015219773529769878
VR,p-value,30,16,3,0.99111,0.00483,3.039359708221468e-05
VR,p-value,150,4,3,0.990175,0.00363,0.0005081404093579138
VR,p-value,150,8,3,0.991115,0.00373,0.0002129903850054769
VR,p-value,150,16,3,0.991565,0.00458,0.00018223972623543347
VR,p-value,300,4,3,0.991145,0.00846,0.0008175624526873581
VR,p-value,300,8,3,0.99033,0.01153,0.000393069875729447
VR,p-value,300,16,3,0.990685,0.01005,0.000312682818583446
VR,instance,30,4,3,0.99103,0.00879,0.7164959378311551
VR,instance,30,8,3,0.991355,0.00545,0.5077821405440415
VR,instance,30,16,3,0.99173,0.00735,0.35092500075695643
VR,instance,150,4,3,0.991315,0.00768,0.5489998081408852
VR,instance,150,8,3,0.991325,0.00737,0.4836669966263308
VR,instance,150,16,3,0.99127,0.00631,0.3103301815239925
VR,instance,300,4,3,0.99099,0.00838,0.5850700755280908
VR,instance,300,8,3,0.990825,0.00961,0.4929080160603676
VR,instance,300,16,3,0.991475,0.00664,0.3371396234804313
CountAbsSHAP,p-value,30,4,4,0.990595,0.00359,0.5237921160056053
CountAbsSHAP,p-value,30,8,4,0.991035,0.00923,0.04128921618077272
CountAbsSHAP,p-value,30,16,4,0.990745,0.00785,0.011158954454484808
CountAbsSHAP,p-value,150,4,4,0.99034,0.00828,0.24580367254489566
CountAbsSHAP,p-value,150,8,4,0.98867,0.01471,0.037044503805251754
CountAbsSHAP,p-value,150,16,4,0.9907,0.00907,0.002705786141932618
CountAbsSHAP,p-value,300,4,4,0.990195,0.00547,0.24334083947010732
CountAbsSHAP,p-value,300,8,4,0.99102,0.00795,0.12904170749199487
CountAbsSHAP,p-value,300,16,4,0.99064,0.00412,0.004038968946620662
CountAbsSHAP,instance,30,4,4,0.988545,0.00319,0.7873872771045007
CountAbsSHAP,instance,30,8,4,0.991055,0.00385,0.5401943283703193
CountAbsSHAP,instance,30,16,4,0.991905,0.0045,0.463892908095638
CountAbsSHAP,instance,150,4,4,0.99048,0.00259,0.730669513497026
CountAbsSHAP,instance,150,8,4,0.991705,0.00386,0.7242395697225683
CountAbsSHAP,instance,150,16,4,0.98844,0.00235,0.4435627993423404
CountAbsSHAP,instance,300,4,4,0.990375,0.00327,0.7232983069449808
CountAbsSHAP,instance,300,8,4,0.99054,0.00311,0.5167802964874668
CountAbsSHAP,instance,300,16,4,0.98955,0.00197,0.4033249411356988
MinPopulation,p-value,30,4,4,0.990675,0.01,0.040157361174156456
MinPopulation,p-value,30,8,4,0.99078,0.00732,0.0003337108648167624
MinPopulation,p-value,30,16,4,0.990065,0.01078,0.00023210987879827632
MinPopulation,p-value,150,4,4,0.9902,0.00996,0.11760369966476837
MinPopulation,p-value,150,8,4,0.99118,0.00571,0.0007489347920693878
MinPopulation,p-value,150,16,4,0.990435,0.0098,0.016705865727235102
MinPopulation,p-value,300,4,4,0.99085,0.00483,0.19329366567666467
MinPopulation,p-value,300,8,4,0.99071,0.00933,0.033368660105980316
MinPopulation,p-value,300,16,4,0.99075,0.00626,0.0021260225155908317
MinPopulation,instance,30,4,4,0.991435,0.00431,0.7422354585789825
